time;prec;metp;megrtp;mesotp10;meanwv
0;0.4;9.6;9.2;10.9;3.1
1;0.4;10.0;9.6;10.9;3.4
2;0.3;9.9;9.6;10.9;3.7
3;0.4;9.8;9.6;10.9;5.6
4;0.4;10.5;10.3;10.9;3.7
5;0.4;11.4;11.1;10.8;3.0
6;0.4;11.6;11.0;10.9;3.4
7;0.3;11.8;11.4;10.9;3.6
8;0.3;12.1;11.8;10.9;4.4
9;0.2;12.8;12.8;10.9;4.3
10;0.1;13.9;14.5;11.0;5.2
11;0.0;13.6;13.7;11.1;4.0
12;0.4;12.8;12.8;11.2;2.5
13;0.5;13.2;13.2;11.3;3.3
14;0.5;13.0;12.8;11.4;4.3
15;0.5;12.2;12.1;11.5;4.0
16;0.4;11.9;11.7;11.6;3.8
17;0.5;11.4;11.2;11.6;3.4
18;0.4;11.0;10.8;11.7;2.9
19;0.4;10.9;10.7;11.7;3.3
20;0.5;11.0;10.8;11.7;3.4
21;0.4;10.7;10.2;11.7;3.2
22;0.4;10.8;10.4;11.6;3.5
23;0.4;10.8;10.3;11.6;2.8
