time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;8.1;7.8;12.0;2.0
1;0.1;7.9;7.0;11.9;1.8
2;0.0;7.4;5.7;11.8;0.6
3;0.1;7.6;7.3;11.7;2.2
4;0.0;8.4;8.1;11.6;2.9
5;0.1;8.8;8.5;11.6;4.1
6;0.0;8.7;8.4;11.5;3.5
7;0.1;8.9;8.4;11.4;2.3
8;0.0;9.6;9.6;11.4;2.3
9;0.1;10.5;10.7;11.4;2.3
10;0.1;11.1;11.5;11.4;2.8
11;0.0;11.6;11.9;11.4;3.3
12;0.1;12.0;12.3;11.5;4.6
13;0.0;12.0;12.1;11.6;4.9
14;0.1;11.9;12.0;11.6;4.6
15;0.1;11.7;11.7;11.7;3.3
16;0.0;12.0;11.8;11.8;3.5
17;0.1;12.0;11.7;11.8;3.5
18;0.1;12.1;11.9;11.8;4.2
19;0.0;10.3;10.0;11.9;3.8
20;0.1;9.9;9.5;11.9;3.5
21;0.0;10.0;9.6;11.9;5.3
22;0.1;9.9;9.3;11.8;5.4
23;0.0;9.9;9.2;11.8;4.8
