time;prec;metp;megrtp;mesotp10;meanwv
0;0.1;10.2;10.1;12.1;1.9
1;0.0;9.9;9.7;12.0;2.2
2;0.1;9.7;9.7;12.0;2.5
3;0.1;9.6;9.6;11.9;2.8
4;0.0;9.7;9.7;11.9;3.4
5;0.1;10.0;10.0;11.9;3.7
6;0.0;10.5;10.5;11.9;3.9
7;0.1;10.9;10.8;11.8;3.8
8;0.0;11.3;11.2;11.8;4.0
9;0.1;11.6;11.5;11.8;3.6
10;0.1;12.2;12.5;11.8;2.4
11;0.1;12.7;12.9;11.9;2.8
12;0.0;12.6;12.7;11.9;2.9
13;0.1;13.4;13.7;12.0;3.2
14;0.1;13.2;13.2;12.1;3.7
15;0.1;12.8;12.7;12.2;2.2
16;0.0;12.1;11.8;12.3;2.5
17;0.1;10.9;10.6;12.4;2.3
18;0.1;10.4;10.0;12.4;2.5
19;0.0;9.9;9.3;12.4;2.5
20;0.1;8.9;7.9;12.3;2.4
21;0.1;8.1;6.9;12.3;2.2
22;0.0;7.8;6.5;12.1;2.2
23;0.1;7.7;7.2;12.1;2.0
