time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;6.8;6.8;11.3;3.1
1;0.1;6.4;6.4;11.3;2.9
2;0.4;6.0;5.9;11.2;2.5
3;0.5;6.1;6.1;11.2;1.4
4;0.4;6.0;5.7;11.2;2.6
5;0.4;5.7;5.4;11.1;2.1
6;0.5;5.6;5.2;11.1;2.2
7;0.3;5.7;5.3;11.0;2.4
8;0.3;6.1;6.8;11.0;3.0
9;0.0;6.7;8.1;11.0;4.4
10;0.0;6.8;8.2;10.9;4.9
11;0.0;7.1;8.5;10.9;4.1
12;0.0;7.4;9.5;11.0;3.9
13;0.0;7.4;9.1;11.1;4.2
14;0.0;7.3;8.8;11.2;3.7
15;0.0;7.3;8.7;11.2;3.2
16;0.0;6.9;7.7;11.2;3.3
17;0.0;5.5;4.7;11.2;2.2
18;0.0;4.3;2.1;11.2;1.3
19;0.0;3.4;1.7;11.1;1.6
20;0.0;2.6;0.6;11.0;1.4
21;0.0;1.8;-0.5;10.8;1.3
22;0.0;0.8;-2.0;10.7;1.1
23;0.0;0.7;-1.9;10.5;1.4
