time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;9.1;8.1;11.6;2.5
1;0.1;8.7;7.7;11.6;2.5
2;0.0;8.5;7.8;11.5;3.3
3;0.0;8.3;7.6;11.4;3.2
4;0.1;8.4;7.8;11.4;3.8
5;0.0;8.7;8.2;11.3;4.3
6;0.0;8.8;8.2;11.2;3.5
7;0.1;9.3;8.9;11.1;2.8
8;0.0;9.5;9.3;11.1;3.2
9;0.1;10.2;10.5;11.1;3.4
10;0.0;11.5;12.5;11.1;3.6
11;0.1;12.7;13.7;11.1;3.8
12;0.0;13.0;14.2;11.2;3.7
13;0.1;13.1;14.2;11.3;3.6
14;0.0;13.0;13.7;11.5;2.7
15;0.1;12.9;13.4;11.6;2.5
16;0.0;12.3;12.0;11.7;1.4
17;0.0;10.9;8.9;11.7;1.3
18;0.1;9.9;7.4;11.7;1.4
19;0.0;9.3;6.8;11.7;0.6
20;0.0;8.3;6.1;11.6;0.0
21;0.0;7.5;4.9;11.4;0.0
22;0.1;6.3;4.4;11.3;0.0
23;0.0;6.6;5.9;11.2;0.0
