time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;7.5;7.6;10.9;0.3
1;0.0;7.6;7.7;10.8;0.5
2;0.1;7.7;7.8;10.8;0.9
3;0.0;7.8;7.8;10.8;0.9
4;0.1;7.8;7.9;10.8;0.0
5;0.0;7.9;8.1;10.8;0.0
6;0.0;8.1;8.2;10.8;0.0
7;0.1;8.2;8.3;10.8;0.7
8;0.0;8.4;8.6;10.8;1.8
9;0.1;9.1;9.6;10.8;2.2
10;0.0;10.2;11.1;10.8;2.5
11;0.1;10.9;11.6;10.8;3.3
12;0.0;11.3;11.6;11.0;3.1
13;0.0;12.0;12.4;11.1;3.5
14;0.1;12.1;12.1;11.2;4.4
15;0.0;12.0;12.0;11.3;5.2
16;0.1;11.4;11.1;11.4;5.3
17;0.0;10.5;9.9;11.4;4.3
18;0.0;10.2;9.7;11.4;3.7
19;0.1;10.3;9.9;11.3;3.6
20;0.0;10.0;9.5;11.2;3.5
21;0.0;9.4;8.9;11.1;3.0
22;0.1;9.1;8.5;11.1;2.9
23;0.0;8.5;7.8;11.0;2.5
