time;prec;metp;megrtp;mesotp10;meanwv
0;0.4;10.6;10.2;11.6;2.2
1;0.4;10.5;10.1;11.5;2.5
2;0.4;10.4;9.9;11.5;2.4
3;0.4;10.4;9.8;11.5;2.8
4;0.3;10.4;9.7;11.4;2.9
5;0.3;10.1;9.4;11.4;3.5
6;0.3;9.9;9.3;11.4;3.4
7;0.3;9.7;9.2;11.3;3.1
8;0.2;10.4;10.3;11.3;3.3
9;0.3;11.8;12.1;11.2;4.2
10;0.2;12.5;12.8;11.2;4.8
11;0.3;12.8;12.8;11.2;5.8
12;0.2;12.9;13.2;11.3;5.1
13;0.2;13.6;14.3;11.4;6.8
14;0.2;13.3;13.5;11.4;7.1
15;0.1;11.5;11.4;11.5;6.3
16;0.2;11.5;11.3;11.6;4.3
17;0.2;10.8;10.1;11.6;3.6
18;0.1;10.1;9.3;11.6;3.5
19;0.2;9.8;9.2;11.6;3.2
20;0.1;9.9;9.3;11.5;3.5
21;0.1;9.6;9.0;11.4;3.4
22;0.1;9.4;8.8;11.4;2.5
23;0.1;9.3;8.7;11.3;2.5
