time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;6.4;5.2;12.9;2.8
1;0.0;6.2;5.3;12.8;3.0
2;0.0;6.4;5.6;12.7;2.7
3;0.0;6.0;5.2;12.6;2.1
4;0.0;6.1;5.2;12.5;2.1
5;0.0;5.4;4.4;12.4;1.7
6;0.0;5.0;3.8;12.4;1.8
7;0.0;5.2;4.6;12.3;1.9
8;0.0;6.6;6.7;12.2;2.1
9;0.0;8.6;9.3;12.2;2.8
10;0.0;9.9;10.6;12.2;3.2
11;0.0;10.1;10.7;12.2;3.7
12;0.0;10.6;11.2;12.3;3.8
13;0.0;11.1;11.9;12.4;4.6
14;0.0;11.0;11.4;12.5;5.5
15;0.0;10.9;11.5;12.6;5.5
16;0.0;10.5;10.6;12.7;5.3
17;0.0;9.4;9.0;12.7;3.6
18;0.0;7.9;6.8;12.6;2.9
19;0.0;7.2;6.1;12.6;3.0
20;0.0;6.9;5.8;12.5;3.2
21;0.0;6.6;5.5;12.4;3.0
22;0.0;6.4;5.3;12.3;3.3
23;0.0;6.2;5.2;12.2;3.2
