time;prec;metp;megrtp;mesotp10;meanwv
0;0.1;14.1;13.5;11.4;6.6
1;0.2;13.6;13.2;11.5;8.0
2;0.1;13.3;12.9;11.5;8.2
3;0.2;12.5;12.0;11.5;10.1
4;0.1;11.8;11.4;11.6;11.3
5;0.1;10.5;10.4;11.5;11.3
6;0.1;10.2;10.0;11.5;10.4
7;0.1;9.8;9.5;11.5;7.6
8;0.2;9.8;9.7;11.4;6.1
9;0.1;10.2;10.3;11.4;5.4
10;0.1;10.9;11.7;11.3;4.7
11;0.1;11.4;12.4;11.3;4.4
12;0.1;11.8;13.1;11.4;3.3
13;0.1;11.7;12.9;11.5;1.8
14;0.1;11.6;12.8;11.5;0.5
15;0.2;11.6;12.6;11.6;0.0
16;0.1;11.0;11.0;11.7;0.2
17;0.1;10.3;9.7;11.8;0.7
18;0.1;9.8;9.3;11.8;1.8
19;0.1;9.6;9.3;11.8;3.2
20;0.1;9.5;9.2;11.8;3.2
21;0.1;9.5;9.2;11.7;3.9
22;0.1;9.4;9.1;11.7;3.8
23;0.1;9.3;9.1;11.6;3.2
