time;prec;metp;megrtp;mesotp10;meanwv
0;0;4;3.4;6.6;2.1
1;0;4.2;3.8;6.6;2.4
2;0;4.4;4;6.6;1.9
3;0;4.6;4.2;6.6;2.1
4;0;4.7;4.2;6.6;1.8
5;0;5;4.7;6.6;2.2
6;0;5;4.6;6.6;2.1
7;0;5;4.5;6.7;1.8
8;0;5.4;5.1;6.7;2
9;0;6.2;6.3;6.7;2
10;0;7.1;7.7;6.8;2.5
11;0;8;8.5;6.8;2.7
12;0;8.5;9.1;7;2.9
13;0;8.7;8.9;7.1;3.3
14;0;8.5;8.5;7.3;2.7
15;0;8.3;8;7.5;2.9
16;0;8;7.5;7.6;2.4
17;0;7.7;7.2;7.6;2.4
18;0;7.4;6.8;7.6;1.6
19;0;7;6.3;7.7;1.2
20;0;6.5;5.9;7.7;1.2
21;0;5.8;5.3;7.7;1.2
22;0;5.5;5.1;7.7;1.6
23;0;5.4;5.2;7.6;1.6
