time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;8.1;7.5;10.8;1.8
1;0.1;7.7;6.9;10.7;2.1
2;0.0;7.4;6.5;10.7;1.9
3;0.0;7.6;7.1;10.6;2.1
4;0.0;7.4;6.8;10.5;1.8
5;0.0;7.3;6.4;10.5;1.6
6;0.0;6.8;6.0;10.4;2.4
7;0.0;7.2;6.8;10.4;2.5
8;0.0;8.4;8.6;10.3;2.4
9;0.0;9.8;10.5;10.3;2.9
10;0.0;11.1;12.0;10.2;2.8
11;0.0;11.6;12.4;10.3;3.5
12;0.0;12.7;14.0;10.4;3.4
13;0.3;10.8;11.6;10.5;3.3
14;0.5;10.6;11.1;10.7;2.0
15;0.5;11.0;11.4;10.7;1.3
16;0.6;10.8;10.7;10.9;3.1
17;0.6;10.4;10.1;11.0;3.3
18;0.7;10.3;9.9;11.0;3.1
19;0.5;10.3;9.8;11.0;2.6
20;0.6;10.0;9.7;11.0;2.6
21;0.5;9.8;9.4;11.0;2.8
22;0.5;10.0;9.5;11.0;2.9
23;0.4;9.8;9.3;11.0;3.0
