time;prec;metp;megrtp;mesotp10;meanwv
0;0.4;11.9;11.5;11.0;8.1
1;1.1;12.7;12.3;11.0;8.6
2;1.9;13.1;12.8;11.0;8.4
3;2.6;13.5;13.2;11.1;7.8
4;1.3;13.6;13.4;11.2;7.0
5;1.6;13.8;13.5;11.3;6.8
6;1.3;13.1;12.8;11.4;6.2
7;0.5;12.0;11.6;11.5;5.6
8;0.5;11.4;11.2;11.6;4.2
9;0.7;11.1;11.0;11.6;3.8
10;0.3;10.3;10.2;11.6;3.6
11;1.2;9.3;9.3;11.6;3.1
12;1.3;8.7;8.8;11.6;1.8
13;0.6;8.4;8.5;11.6;1.4
14;1.2;8.2;8.2;11.6;0.9
15;1.6;8.0;8.0;11.6;1.2
16;0.9;7.6;7.6;11.6;1.0
17;1.0;7.5;7.5;11.5;1.9
18;1.8;7.5;7.5;11.4;1.3
19;0.9;7.6;7.6;11.4;1.6
20;1.9;7.7;7.7;11.3;2.3
21;1.3;7.7;7.7;11.2;1.6
22;0.2;7.8;7.8;11.1;1.8
23;0.0;7.4;7.4;11.1;3.0
