time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;5.9;5.6;9.6;4.1
1;0.0;6.2;6.0;9.5;4.3
2;0.0;6.7;6.4;9.5;4.8
3;0.3;6.7;6.5;9.4;4.9
4;0.7;6.7;6.6;9.4;5.6
5;0.8;7.1;7.0;9.4;5.6
6;1.0;7.4;7.3;9.4;5.6
7;1.2;7.8;7.8;9.4;4.4
8;0.9;8.4;8.5;9.4;3.9
9;0.7;9.3;9.6;9.4;2.8
10;0.3;11.5;11.9;9.5;3.8
11;0.0;13.3;14.1;9.6;4.8
12;0.0;13.6;14.2;9.7;4.6
13;0.0;14.1;15.0;9.9;4.3
14;0.0;14.1;14.7;10.1;4.9
15;0.0;14.0;14.8;10.3;4.0
16;0.0;13.3;13.1;10.4;4.0
17;0.0;12.1;11.2;10.6;2.1
18;0.0;10.5;8.8;10.6;1.4
19;0.0;9.8;8.7;10.6;2.6
20;0.0;9.7;9.1;10.6;2.6
21;0.1;9.3;8.6;10.6;1.6
22;0.1;9.3;8.6;10.5;2.4
23;0.2;9.4;8.9;10.5;3.6
