time;prec;metp;megrtp;mesotp10;meanwv
0;0.1;9.2;9.0;11.6;3.2
1;0.1;9.3;9.2;11.5;5.0
2;0.1;9.5;9.4;11.5;5.0
3;0.1;9.4;9.3;11.5;3.8
4;0.1;9.4;9.3;11.4;5.0
5;0.1;9.6;9.5;11.4;5.2
6;0.1;9.8;9.6;11.4;4.9
7;0.0;9.9;9.6;11.4;5.5
8;0.1;10.4;10.5;11.4;4.6
9;0.1;11.2;11.3;11.3;4.7
10;0.0;12.0;12.1;11.4;5.6
11;0.1;12.4;12.6;11.4;5.2
12;0.1;12.7;12.9;11.5;5.3
13;0.1;12.8;13.0;11.5;4.0
14;0.0;13.0;13.1;11.6;3.3
15;0.1;13.0;13.1;11.7;2.7
16;0.1;12.9;12.9;11.7;2.2
17;0.0;12.7;12.6;11.8;1.6
18;0.1;12.7;12.6;11.9;1.8
19;0.1;12.6;12.4;11.9;1.9
20;0.0;12.5;12.1;11.9;1.8
21;0.1;12.6;12.3;11.9;2.0
22;0.0;12.6;12.2;11.9;1.7
23;0.1;12.0;10.8;11.9;1.2
