time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;6.1;5.1;12.1;3.2
1;0.0;6.0;5.1;12.0;3.2
2;0.0;5.7;4.7;11.9;2.9
3;0.0;5.9;4.9;11.8;3.2
4;0.0;5.9;5.0;11.7;3.0
5;0.0;5.8;4.8;11.6;2.7
6;0.0;5.8;4.9;11.6;2.8
7;0.0;6.7;6.3;11.5;3.3
8;0.0;8.4;8.5;11.4;3.4
9;0.0;9.7;9.9;11.4;4.2
10;0.0;10.9;11.8;11.4;4.2
11;0.2;8.5;8.7;11.5;3.4
12;0.5;8.8;9.1;11.6;3.2
13;0.5;9.1;9.6;11.7;3.1
14;0.5;9.4;9.9;11.7;3.4
15;0.5;9.3;9.9;11.9;3.5
16;0.4;8.7;8.9;11.9;4.4
17;0.2;8.0;7.8;12.0;4.1
18;0.0;7.9;7.5;12.0;3.5
19;0.0;7.8;7.2;11.9;3.4
20;0.0;7.7;7.0;11.9;3.9
21;0.0;7.7;7.2;11.8;4.5
22;0.0;7.4;6.8;11.7;4.1
23;0.0;7.3;6.7;11.6;3.5
