time;prec;metp;megrtp;mesotp10;meanwv
0;0.1;7.2;7.2;11.0;2.0
1;0.0;7.2;7.2;11.0;2.1
2;0.1;7.5;7.5;10.9;4.0
3;0.6;7.5;7.4;10.9;4.1
4;0.4;6.7;6.1;10.8;4.7
5;0.0;6.1;5.2;10.8;4.7
6;0.0;5.6;4.6;10.7;3.6
7;0.1;5.6;4.8;10.5;3.9
8;0.0;5.9;5.6;10.4;2.8
9;0.2;7.2;7.4;10.3;4.4
10;0.2;7.8;7.9;10.2;4.9
11;0.2;8.7;9.0;10.2;4.1
12;0.2;9.3;9.7;10.2;4.8
13;0.2;9.9;10.1;10.3;5.3
14;0.5;10.0;10.3;10.4;5.0
15;0.1;8.8;8.5;10.5;5.0
16;0.0;8.3;8.0;10.6;3.3
17;0.1;7.9;7.5;10.6;3.2
18;1.4;7.8;7.4;10.6;3.3
19;0.9;7.2;6.8;10.5;3.5
20;0.1;7.1;6.7;10.4;4.1
21;0.8;7.1;6.8;10.4;3.4
22;0.2;7.0;6.6;10.3;3.3
23;0.0;7.0;6.7;10.2;4.2
