time;prec;metp;megrtp;mesotp10;meanwv
0;0.1;8.9;8.2;11.3;2.4
1;0.1;8.7;8.1;11.2;2.1
2;0.0;8.5;7.8;11.2;1.8
3;0.1;8.2;7.5;11.1;2.0
4;0.1;8.4;7.9;11.1;2.2
5;0.0;8.7;8.3;11.0;2.6
6;0.1;8.4;7.8;11.0;2.3
7;0.0;8.5;8.0;10.9;2.2
8;0.1;9.1;9.1;10.9;2.0
9;0.0;9.8;10.0;10.9;2.3
10;0.0;11.0;11.4;10.9;2.8
11;0.1;11.6;12.0;10.9;3.6
12;0.0;12.2;12.6;11.0;3.0
13;0.0;12.5;12.7;11.1;3.0
14;0.0;12.1;12.2;11.2;3.4
15;0.1;11.5;11.4;11.3;3.2
16;0.0;11.0;10.9;11.4;3.6
17;0.1;10.3;10.2;11.4;5.3
18;0.1;10.1;10.0;11.4;5.5
19;0.0;10.4;10.3;11.4;5.6
20;0.1;10.7;10.6;11.4;5.2
21;0.1;11.5;11.4;11.4;5.2
22;0.2;12.8;12.5;11.4;5.5
23;0.2;14.5;13.8;11.4;5.8
