time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;8.3;7.8;10.9;2.7
1;0.0;9.4;9.0;10.8;2.8
2;0.1;9.8;9.4;10.8;2.6
3;0.0;10.0;9.6;10.7;2.6
4;0.0;10.0;9.5;10.7;2.7
5;0.1;9.8;9.3;10.7;2.4
6;0.0;9.1;8.4;10.6;2.6
7;0.0;8.9;8.3;10.6;2.8
8;0.1;9.6;9.3;10.5;2.7
9;0.0;10.4;10.4;10.5;3.3
10;0.0;11.5;11.9;10.5;3.3
11;0.1;12.3;12.9;10.5;3.4
12;0.0;12.8;13.1;10.6;3.8
13;0.0;13.1;14.0;10.8;3.9
14;0.1;13.0;13.7;10.9;3.3
15;0.0;12.7;12.9;11.1;2.7
16;0.1;11.5;10.9;11.2;3.1
17;0.0;10.5;9.6;11.2;2.8
18;0.0;9.3;8.1;11.2;2.1
19;0.0;9.4;8.8;11.2;2.6
20;0.1;9.5;9.2;11.1;3.2
21;0.0;8.8;7.8;11.1;2.2
22;0.0;8.2;7.0;11.0;2.2
23;0.1;8.9;8.6;10.9;2.5
