time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;-0.6;-2.6;7.3;1.1
1;0.0;-0.7;-2.5;7.1;1.1
2;0.0;-0.8;-2.9;6.9;0.7
3;0.0;-1.3;-3.4;6.8;0.9
4;0.0;-1.6;-3.4;6.6;1.2
5;0.0;-1.2;-3.5;6.5;1.2
6;0.0;-0.9;-2.2;6.3;1.4
7;0.0;-0.3;-1.8;6.2;1.9
8;0.0;1.0;0.4;6.1;2.5
9;0.0;2.0;1.9;6.0;2.7
10;0.0;3.2;3.5;5.9;2.5
11;0.0;4.6;5.0;6.0;3.2
12;0.0;6.1;6.9;6.1;3.5
13;0.0;6.4;6.7;6.2;2.9
14;0.0;6.8;6.8;6.4;2.6
15;0.0;6.9;6.8;6.6;2.0
16;0.0;6.4;6.0;6.7;2.1
17;0.0;5.5;4.3;6.9;1.7
18;0.0;4.8;3.2;6.9;1.7
19;0.0;4.4;3.2;6.9;2.1
20;0.0;4.1;3.0;6.9;2.1
21;0.0;3.9;2.9;6.8;2.0
22;0.0;3.8;3.0;6.7;2.2
23;0.0;4.2;3.8;6.7;2.4
