time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;1.5;-1.0;9.0;1.0
1;0.0;1.7;-1.3;8.8;1.1
2;0.0;1.3;-1.9;8.6;1.0
3;0.0;0.9;-2.1;8.5;0.9
4;0.0;0.3;-2.2;8.3;0.8
5;0.0;0.5;-2.1;8.1;1.1
6;0.0;0.1;-2.3;7.9;0.9
7;0.0;-0.2;-2.4;7.8;0.9
8;0.0;1.1;0.2;7.6;1.2
9;0.0;3.1;4.2;7.5;1.0
10;0.0;5.1;6.8;7.4;1.4
11;0.0;6.9;9.1;7.4;1.7
12;0.0;7.8;9.8;7.5;2.2
13;0.0;8.1;9.8;7.7;2.7
14;0.0;8.1;9.3;7.9;2.7
15;0.0;7.6;8.3;8.1;2.5
16;0.0;6.5;6.0;8.2;1.4
17;0.0;4.4;1.3;8.3;0.4
18;0.0;2.5;-0.3;8.3;0.0
19;0.0;1.3;-1.2;8.1;0.2
20;0.0;0.7;-1.6;8.0;0.5
21;0.0;0.3;-1.9;7.8;0.1
22;0.0;-0.1;-2.3;7.6;0.6
23;0.0;-0.3;-2.3;7.4;0.9
