time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;12.1;11.7;11.9;0.9
1;0.0;12.1;11.3;11.9;1.4
2;0.1;12.0;11.5;11.9;0.8
3;0.0;12.0;11.7;11.9;1.0
4;0.1;11.9;11.4;11.9;0.7
5;0.0;11.8;11.5;11.9;1.0
6;0.1;11.7;11.4;11.9;0.7
7;0.0;11.6;11.3;11.9;0.3
8;0.1;11.7;11.7;11.9;0.5
9;0.1;11.9;12.1;11.9;0.2
10;0.0;12.2;12.5;11.9;0.6
11;0.1;12.3;12.5;11.9;0.9
12;0.0;12.4;12.7;12.0;1.1
13;0.1;12.6;12.9;12.0;0.8
14;0.1;12.7;12.8;12.1;0.6
15;0.0;12.7;12.8;12.2;1.3
16;0.1;12.7;12.6;12.2;1.3
17;0.1;12.5;12.3;12.3;1.0
18;0.1;12.2;11.7;12.4;0.2
19;0.0;11.2;9.2;12.4;0.7
20;0.1;10.3;8.3;12.4;1.1
21;0.0;10.0;9.3;12.3;1.4
22;0.1;9.7;9.3;12.2;1.6
23;0.0;9.8;9.7;12.1;1.9
