time;prec;metp;megrtp;mesotp10;meanwv
0;0.1;9.7;9.1;11.8;5.1
1;0.1;10.0;9.5;11.7;5.2
2;0.0;10.1;9.4;11.6;4.2
3;0.1;9.9;9.1;11.6;4.6
4;0.0;9.7;8.9;11.6;4.1
5;0.0;9.7;9.0;11.5;4.4
6;0.1;9.6;9.0;11.5;4.3
7;0.0;10.0;9.3;11.4;5.3
8;0.1;10.3;10.1;11.4;5.8
9;0.0;10.7;10.8;11.3;5.6
10;0.1;10.9;11.0;11.3;5.8
11;0.0;11.6;11.9;11.3;5.6
12;0.0;12.0;12.4;11.4;5.5
13;0.1;12.4;12.7;11.4;4.9
14;0.1;12.2;12.2;11.5;4.4
15;0.0;11.9;11.8;11.6;5.2
16;0.1;11.6;11.4;11.7;4.3
17;0.0;11.1;10.6;11.7;3.6
18;0.1;10.9;10.5;11.7;3.3
19;0.0;10.7;10.4;11.7;3.7
20;0.0;10.4;10.2;11.7;3.0
21;0.1;10.4;10.2;11.7;2.1
22;0.0;10.4;10.1;11.6;2.2
23;0.1;9.8;8.9;11.6;1.9
