time;prec;metp;megrtp;mesotp10;meanwv
0;0.4;7.2;6.9;10.1;5.6
1;0.0;7.0;6.5;10.0;4.3
2;0.0;6.4;5.6;10.0;3.7
3;0.0;6.0;5.3;9.9;4.0
4;0.0;5.7;4.9;9.8;3.0
5;0.0;5.0;3.0;9.7;1.8
6;0.0;4.3;2.2;9.6;1.8
7;0.0;4.2;2.9;9.5;2.0
8;0.0;4.8;4.5;9.3;2.0
9;0.0;6.5;6.9;9.2;2.1
10;0.0;7.5;8.0;9.2;2.7
11;0.0;8.1;8.7;9.2;3.3
12;0.0;9.0;9.9;9.3;4.6
13;0.0;8.7;9.2;9.4;3.7
14;0.0;8.6;9.2;9.5;3.8
15;0.0;8.3;8.7;9.6;2.8
16;0.0;7.2;6.8;9.7;2.2
17;0.0;6.1;5.7;9.7;1.9
18;0.0;5.5;5.1;9.7;1.4
19;0.0;4.9;4.3;9.6;1.6
20;0.0;3.9;1.6;9.6;1.1
21;0.0;3.1;-0.1;9.5;1.5
22;0.0;2.4;-0.2;9.3;1.0
23;0.0;2.2;-0.3;9.2;1.0
