time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;6.4;4.5;11.1;0.0
1;0.0;5.5;4.0;11.0;0.0
2;0.1;5.7;5.6;10.9;1.1
3;0.0;7.8;7.8;10.8;1.9
4;0.0;7.8;7.6;10.8;1.5
5;0.0;7.0;5.7;10.8;0.7
6;0.0;6.6;5.4;10.7;1.1
7;0.1;5.8;5.6;10.7;1.6
8;0.0;6.1;6.1;10.6;1.5
9;0.0;7.1;7.6;10.6;1.2
10;0.0;8.3;9.1;10.6;1.6
11;0.1;9.3;10.1;10.6;1.7
12;0.0;9.7;9.9;10.7;2.1
13;0.0;9.7;9.8;10.7;1.9
14;0.0;9.4;9.6;10.8;2.1
15;0.1;9.3;9.7;10.9;2.7
16;0.0;8.9;9.0;10.9;2.2
17;0.0;8.5;8.5;11.0;1.9
18;0.0;8.1;8.1;11.0;1.6
19;0.1;8.0;8.0;11.0;1.3
20;0.0;7.8;7.8;11.0;1.3
21;0.0;7.3;6.9;11.0;1.8
22;0.0;7.2;7.1;10.9;1.1
23;0.1;7.4;7.4;10.9;1.5
