time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;7.2;6.8;11.5;2.8
1;0.0;7.4;7.0;11.5;3.1
2;0.0;7.3;6.8;11.4;2.7
3;0.0;7.2;6.9;11.4;2.2
4;0.0;7.4;7.1;11.4;2.6
5;0.0;7.5;7.2;11.3;2.7
6;0.0;7.5;7.3;11.3;2.4
7;0.0;7.7;7.6;11.3;2.4
8;0.0;8.1;8.1;11.2;2.8
9;0.0;8.3;8.7;11.3;2.0
10;0.0;8.9;9.5;11.3;2.5
11;0.0;9.4;10.5;11.3;2.7
12;0.0;9.7;11.6;11.4;2.2
13;0.0;10.3;13.2;11.5;1.4
14;0.0;10.7;13.8;11.6;1.7
15;0.0;10.7;12.8;11.8;1.2
16;0.0;10.4;11.1;12.0;0.9
17;0.0;9.5;8.9;12.0;0.4
18;0.0;8.7;8.2;12.1;0.3
19;0.0;8.7;8.3;12.1;0.7
20;0.0;8.5;8.2;12.1;1.9
21;0.0;8.2;7.9;12.1;2.0
22;0.0;7.8;7.3;12.0;2.4
23;0.0;7.0;6.4;12.0;1.7
