time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;0.4;-2.1;10.4;1.6
1;0.0;0.3;-2.2;10.2;1.2
2;0.0;0.4;-2.3;10.0;1.0
3;0.0;0.4;-2.0;9.9;1.3
4;0.0;0.3;-1.9;9.7;1.0
5;0.0;-0.8;-2.6;9.6;0.4
6;0.0;-0.6;-1.6;9.5;0.2
7;0.0;0.5;0.6;9.3;0.7
8;0.0;2.3;3.3;9.2;0.8
9;0.0;4.3;6.1;9.2;1.5
10;0.0;7.1;9.5;9.2;2.9
11;0.0;8.3;10.4;9.2;3.1
12;0.0;8.3;9.1;9.4;2.8
13;0.0;8.5;9.0;9.5;3.0
14;0.0;8.2;8.5;9.7;3.1
15;0.0;8.2;8.4;9.8;2.3
16;0.0;7.6;7.4;9.9;1.9
17;0.0;7.3;7.1;10.0;1.7
18;0.0;6.6;6.2;10.0;2.1
19;0.0;6.1;5.8;10.0;2.3
20;0.0;5.7;5.6;10.0;2.4
21;0.0;5.4;5.1;10.0;1.8
22;0.0;4.7;4.2;10.0;1.0
23;0.0;4.1;3.9;9.9;1.3
