time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;9.3;9.1;10.8;2.3
1;0.0;9.8;9.6;10.8;2.5
2;0.0;10.3;10.1;10.8;3.6
3;0.1;10.8;10.6;10.7;4.6
4;0.0;11.0;10.9;10.7;4.5
5;0.0;11.2;11.0;10.8;4.6
6;0.1;11.4;11.2;10.8;5.0
7;0.0;11.6;11.4;10.8;5.4
8;0.0;11.9;11.8;10.8;5.7
9;0.1;12.3;12.3;10.9;6.1
10;0.0;12.9;12.9;11.0;6.2
11;0.1;13.5;13.7;11.1;7.0
12;0.0;13.5;13.7;11.2;6.4
13;0.0;13.2;13.3;11.3;5.2
14;0.0;13.0;13.0;11.4;5.0
15;0.0;12.2;12.2;11.5;4.7
16;0.0;11.8;11.7;11.6;4.8
17;0.0;11.7;11.6;11.6;3.9
18;0.0;11.7;11.6;11.6;3.6
19;0.0;11.8;11.7;11.6;4.4
20;0.0;12.2;12.1;11.6;4.4
21;0.0;13.0;12.7;11.6;4.6
22;0.0;13.3;12.7;11.6;4.0
23;0.0;13.5;12.9;11.7;4.0
