time;prec;metp;megrtp;mesotp10;meanwv
0;0.4;9.7;9.4;10.5;3.5
1;0.3;9.3;8.8;10.5;2.9
2;0.0;9.0;8.4;10.4;2.6
3;0.0;8.5;7.9;10.4;2.9
4;0.0;8.1;7.5;10.4;3.0
5;0.0;7.9;7.3;10.3;3.2
6;0.0;7.9;7.1;10.3;2.9
7;0.0;7.9;7.2;10.2;2.8
8;0.0;9.5;9.5;10.2;3.8
9;0.0;10.4;10.6;10.2;3.8
10;0.0;11.5;12.3;10.2;3.9
11;0.0;13.0;14.0;10.2;4.2
12;0.0;13.5;14.0;10.3;4.4
13;0.2;12.1;12.2;10.4;3.6
14;0.5;10.6;10.5;10.6;2.4
15;0.6;10.9;10.9;10.7;0.9
16;0.6;11.0;10.7;10.8;2.8
17;0.6;9.9;9.6;10.8;2.4
18;0.5;9.5;9.2;10.9;2.3
19;0.4;9.3;8.9;10.9;3.0
20;0.2;9.1;8.7;10.9;2.5
21;0.1;8.7;8.4;10.8;2.8
22;0.0;8.5;8.1;10.8;1.7
23;0.0;8.4;7.9;10.8;1.7
