time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;13.8;13.2;11.7;5.4
1;0.0;13.9;13.3;11.7;5.9
2;0.0;13.4;13.0;11.7;6.9
3;0.0;11.7;11.3;11.7;6.3
4;0.0;11.1;10.5;11.7;4.6
5;0.0;10.9;10.5;11.7;4.8
6;0.0;10.6;10.2;11.6;4.3
7;0.0;10.2;9.8;11.6;3.7
8;0.0;9.9;9.5;11.5;3.9
9;0.0;10.6;10.7;11.4;4.5
10;0.3;10.7;10.9;11.4;5.1
11;0.0;10.5;10.5;11.4;4.7
12;0.1;11.2;11.6;11.4;5.7
13;0.0;11.4;11.5;11.4;5.8
14;0.0;11.1;11.0;11.5;5.8
15;0.0;10.5;10.4;11.6;5.0
16;0.0;9.7;9.1;11.6;3.4
17;0.0;8.6;6.8;11.5;1.7
18;0.0;8.3;7.4;11.4;2.3
19;0.0;8.4;8.0;11.3;3.0
20;0.1;8.3;8.0;11.2;3.1
21;0.3;8.9;8.6;11.2;4.4
22;0.4;9.8;9.6;11.1;5.8
23;0.8;10.7;10.5;11.0;8.0
