time;prec;metp;megrtp;mesotp10;meanwv
0;0.0;6.4;5.7;11.9;1.6
1;0.0;6.5;6.2;11.8;1.8
2;0.0;5.9;5.3;11.8;1.7
3;0.0;5.3;4.5;11.7;1.5
4;0.0;5.2;5.1;11.7;2.3
5;0.0;5.9;5.8;11.6;2.9
6;0.0;6.5;6.3;11.5;3.2
7;0.0;6.8;6.6;11.5;3.3
8;0.0;7.4;7.3;11.4;3.3
9;0.0;8.4;8.5;11.4;4.1
10;0.0;9.4;9.9;11.4;5.6
11;0.0;9.9;10.6;11.4;5.7
12;0.0;9.5;9.7;11.5;5.6
13;0.0;9.5;9.7;11.6;5.3
14;0.0;9.3;9.3;11.7;4.4
15;0.0;8.7;8.6;11.7;3.6
16;0.0;8.1;8.0;11.7;3.6
17;0.0;7.8;7.6;11.7;3.6
18;0.0;7.7;7.5;11.7;4.1
19;0.0;7.7;7.4;11.6;3.6
20;0.0;7.5;7.1;11.5;3.3
21;0.0;7.6;7.3;11.5;3.7
22;0.0;7.2;7.2;11.4;3.9
23;0.0;7.0;6.9;11.4;3.7
