Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  2.407542E-3,    -3.14159,          NaN,         NaN,  8.597139E-4,    -0.00000,          NaN,         NaN
     1.0,  7.322326E-3,    -3.85426,          NaN,         NaN,  2.473318E-3,    -0.66803,          NaN,         NaN
     2.0,  1.199481E-2,    -4.01836,          NaN,         NaN,  3.934797E-3,    -0.85047,          NaN,         NaN
     3.0,  1.705570E-2,    -4.00494,          NaN,         NaN,  5.541282E-3,    -0.85339,          NaN,         NaN
     4.0,  2.212925E-2,    -3.93174,          NaN,         NaN,  7.157263E-3,    -0.79274,          NaN,         NaN
     5.0,  2.708502E-2,    -3.83259,          NaN,         NaN,  8.734713E-3,    -0.70402,          NaN,         NaN
     6.0,  3.184997E-2,    -3.72018,          NaN,         NaN,  1.024730E-2,    -0.60085,          NaN,         NaN
     7.0,  3.637113E-2,    -3.60026,          NaN,         NaN,  1.167654E-2,    -0.48950,          NaN,         NaN
     8.0,  4.060544E-2,    -3.47585,          NaN,         NaN,  1.300791E-2,    -0.37326,          NaN,         NaN
     9.0,  4.451648E-2,    -3.34867,          NaN,         NaN,  1.422961E-2,    -0.25404,          NaN,         NaN
    10.0,  4.807330E-2,    -3.21983,          NaN,         NaN,  1.533212E-2,    -0.13306,          NaN,         NaN
    11.0,  5.125005E-2,    -3.09008,          NaN,         NaN,  1.630804E-2,    -0.01116,          NaN,         NaN
    12.0,  5.402590E-2,    -2.95998,          NaN,         NaN,  1.715205E-2,     0.11105,          NaN,         NaN
    13.0,  5.638514E-2,    -2.82995,          NaN,         NaN,  1.786095E-2,     0.23307,          NaN,         NaN
    14.0,  5.831724E-2,    -2.70037,          NaN,         NaN,  1.843364E-2,     0.35449,          NaN,         NaN
    15.0,  5.981694E-2,    -2.57156,          NaN,         NaN,  1.887113E-2,     0.47497,          NaN,         NaN
    16.0,  6.088434E-2,    -2.44383,          NaN,         NaN,  1.917654E-2,     0.59415,          NaN,         NaN
    17.0,  6.152494E-2,    -2.31749,          NaN,         NaN,  1.935507E-2,     0.71171,          NaN,         NaN
    18.0,  6.174963E-2,    -2.19287,          NaN,         NaN,  1.941391E-2,     0.82734,          NaN,         NaN
    19.0,  6.157473E-2,    -2.07030,          NaN,         NaN,  1.936217E-2,     0.94071,          NaN,         NaN
    20.0,  6.102193E-2,    -1.95015,          NaN,         NaN,  1.921077E-2,     1.05151,          NaN,         NaN
    21.0,  6.011821E-2,    -1.83284,          NaN,         NaN,  1.897227E-2,     1.15943,          NaN,         NaN
