Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  3.438886E-3,    -3.14159,          NaN,         NaN,  1.110451E-4,    -0.00000,          NaN,         NaN
     1.0,  8.306512E-3,    -3.59917,          NaN,         NaN,  7.121928E-4,    -1.10053,          NaN,         NaN
     2.0,  1.154646E-2,    -3.79899,          NaN,         NaN,  1.366773E-3,    -1.10135,          NaN,         NaN
     3.0,  1.542790E-2,    -3.83754,          NaN,         NaN,  2.023303E-3,    -1.00159,          NaN,         NaN
     4.0,  1.947927E-2,    -3.80152,          NaN,         NaN,  2.668708E-3,    -0.87542,          NaN,         NaN
     5.0,  2.350904E-2,    -3.72856,          NaN,         NaN,  3.296699E-3,    -0.73869,          NaN,         NaN
     6.0,  2.741791E-2,    -3.63539,          NaN,         NaN,  3.902312E-3,    -0.59679,          NaN,         NaN
     7.0,  3.114212E-2,    -3.53024,          NaN,         NaN,  4.481109E-3,    -0.45209,          NaN,         NaN
     8.0,  3.463476E-2,    -3.41760,          NaN,         NaN,  5.029005E-3,    -0.30581,          NaN,         NaN
     9.0,  3.785870E-2,    -3.30009,          NaN,         NaN,  5.542228E-3,    -0.15866,          NaN,         NaN
    10.0,  4.078374E-2,    -3.17942,          NaN,         NaN,  6.017322E-3,    -0.01109,          NaN,         NaN
    11.0,  4.338537E-2,    -3.05671,          NaN,         NaN,  6.451166E-3,     0.13659,          NaN,         NaN
    12.0,  4.564423E-2,    -2.93279,          NaN,         NaN,  6.840995E-3,     0.28411,          NaN,         NaN
    13.0,  4.754588E-2,    -2.80827,          NaN,         NaN,  7.184422E-3,     0.43130,          NaN,         NaN
    14.0,  4.908073E-2,    -2.68367,          NaN,         NaN,  7.479460E-3,     0.57796,          NaN,         NaN
    15.0,  5.024402E-2,    -2.55942,          NaN,         NaN,  7.724541E-3,     0.72394,          NaN,         NaN
    16.0,  5.103582E-2,    -2.43591,          NaN,         NaN,  7.918538E-3,     0.86906,          NaN,         NaN
    17.0,  5.146104E-2,    -2.31353,          NaN,         NaN,  8.060778E-3,     1.01316,          NaN,         NaN
    18.0,  5.152941E-2,    -2.19266,          NaN,         NaN,  8.151061E-3,     1.15605,          NaN,         NaN
    19.0,  5.125547E-2,    -2.07370,          NaN,         NaN,  8.189668E-3,     1.29753,          NaN,         NaN
    20.0,  5.065856E-2,    -1.95708,          NaN,         NaN,  8.177379E-3,     1.43737,          NaN,         NaN
    21.0,  4.976275E-2,    -1.84328,          NaN,         NaN,  8.115484E-3,     1.57530,          NaN,         NaN
    22.0,  4.859684E-2,    -1.73282,          NaN,         NaN,  8.005794E-3,     1.71103,          NaN,         NaN
    23.0,  4.719437E-2,    -1.62628,          NaN,         NaN,  7.850659E-3,     1.84419,          NaN,         NaN
    24.0,  4.559355E-2,    -1.52432,          NaN,         NaN,  7.652986E-3,     1.97436,          NaN,         NaN
    25.0,  4.383727E-2,    -1.42767,          NaN,         NaN,  7.416268E-3,     2.10102,          NaN,         NaN
    26.0,  4.197306E-2,    -1.33712,          NaN,         NaN,  7.144621E-3,     2.22357,          NaN,         NaN
    27.0,  4.005292E-2,    -1.25350,          NaN,         NaN,  6.842832E-3,     2.34125,          NaN,         NaN
    28.0,  3.813289E-2,    -1.17761,          NaN,         NaN,  6.516438E-3,     2.45318,          NaN,         NaN
    29.0,  3.627223E-2,    -1.11015,          NaN,         NaN,  6.171818E-3,     2.55827,          NaN,         NaN
    30.0,  3.453179E-2,    -1.05156,          NaN,         NaN,  5.816320E-3,     2.65525,          NaN,         NaN
    31.0,  3.297136E-2,    -1.00187,          NaN,         NaN,  5.458413E-3,     2.74265,          NaN,         NaN
    32.0,  3.164556E-2,    -0.96044,          NaN,         NaN,  5.107836E-3,     2.81884,          NaN,         NaN
    33.0,  3.059868E-2,    -0.92589,          NaN,         NaN,  4.775696E-3,     2.88220,          NaN,         NaN
    34.0,  2.985900E-2,    -0.89600,          NaN,         NaN,  4.474386E-3,     2.93140,          NaN,         NaN
    35.0,  2.943421E-2,    -0.86798,          NaN,         NaN,  4.217125E-3,     2.96595,          NaN,         NaN
    36.0,  2.930955E-2,    -0.83885,          NaN,         NaN,  4.016863E-3,     2.98678,          NaN,         NaN
    37.0,  2.944972E-2,    -0.80586,          NaN,         NaN,  3.884441E-3,     2.99692,          NaN,         NaN
    38.0,  2.980393E-2,    -0.76693,          NaN,         NaN,  3.826309E-3,     3.00145,          NaN,         NaN
    39.0,  3.031267E-2,    -0.72080,          NaN,         NaN,  3.842718E-3,     3.00669,          NaN,         NaN
    40.0,  3.091417E-2,    -0.66698,          NaN,         NaN,  3.927385E-3,     3.01869,          NaN,         NaN
    41.0,  3.154950E-2,    -0.60564,          NaN,         NaN,  4.068924E-3,     3.04187,          NaN,         NaN
    42.0,  3.216579E-2,    -0.53734,          NaN,         NaN,  4.253236E-3,     3.07849,          NaN,         NaN
    43.0,  3.271787E-2,    -0.46294,          NaN,         NaN,  4.465788E-3,     3.12891,          NaN,         NaN
    44.0,  3.316881E-2,    -0.38338,          NaN,         NaN,  4.693118E-3,     3.19227,          NaN,         NaN
    45.0,  3.348984E-2,    -0.29966,          NaN,         NaN,  4.923531E-3,     3.26708,          NaN,         NaN
    46.0,  3.365985E-2,    -0.21278,          NaN,         NaN,  5.147257E-3,     3.35167,          NaN,         NaN
    47.0,  3.366487E-2,    -0.12369,          NaN,         NaN,  5.356316E-3,     3.44446,          NaN,         NaN
    48.0,  3.349751E-2,    -0.03333,          NaN,         NaN,  5.544293E-3,     3.54399,          NaN,         NaN
    49.0,  3.315641E-2,     0.05738,          NaN,         NaN,  5.706105E-3,     3.64903,          NaN,         NaN
    50.0,  3.264591E-2,     0.14752,          NaN,         NaN,  5.837788E-3,     3.75854,          NaN,         NaN
    51.0,  3.197568E-2,     0.23616,          NaN,         NaN,  5.936335E-3,     3.87163,          NaN,         NaN
    52.0,  3.116054E-2,     0.32235,          NaN,         NaN,  5.999559E-3,     3.98754,          NaN,         NaN
    53.0,  3.022035E-2,     0.40507,          NaN,         NaN,  6.025988E-3,     4.10565,          NaN,         NaN
    54.0,  2.917996E-2,     0.48327,          NaN,         NaN,  6.014782E-3,     4.22539,          NaN,         NaN
    55.0,  2.806928E-2,     0.55583,          NaN,         NaN,  5.965669E-3,     4.34625,          NaN,         NaN
    56.0,  2.692324E-2,     0.62164,          NaN,         NaN,  5.878885E-3,     4.46779,          NaN,         NaN
    57.0,  2.578166E-2,     0.67960,          NaN,         NaN,  5.755132E-3,     4.58956,          NaN,         NaN
    58.0,  2.468878E-2,     0.72881,          NaN,         NaN,  5.595537E-3,     4.71112,          NaN,         NaN
    59.0,  2.369209E-2,     0.76869,          NaN,         NaN,  5.401625E-3,     4.83200,          NaN,         NaN
    60.0,  2.284009E-2,     0.79926,          NaN,         NaN,  5.175285E-3,     4.95170,          NaN,         NaN
    61.0,  2.217867E-2,     0.82137,          NaN,         NaN,  4.918759E-3,     5.06962,          NaN,         NaN
    62.0,  2.174635E-2,     0.83683,          NaN,         NaN,  4.634632E-3,     5.18503,          NaN,         NaN
    63.0,  2.156899E-2,     0.84840,          NaN,         NaN,  4.325844E-3,     5.29702,          NaN,         NaN
    64.0,  2.165574E-2,     0.85938,          NaN,         NaN,  3.995725E-3,     5.40437,          NaN,         NaN
    65.0,  2.199766E-2,     0.87308,          NaN,         NaN,  3.648077E-3,     5.50538,          NaN,         NaN
    66.0,  2.256972E-2,     0.89227,          NaN,         NaN,  3.287342E-3,     5.59766,          NaN,         NaN
    67.0,  2.333548E-2,     0.91879,          NaN,         NaN,  2.918911E-3,     5.67766,          NaN,         NaN
    68.0,  2.425262E-2,     0.95353,          NaN,         NaN,  2.549728E-3,     5.73992,          NaN,         NaN
    69.0,  2.527795E-2,     0.99652,          NaN,         NaN,  2.189437E-3,     5.77598,          NaN,         NaN
    70.0,  2.637092E-2,     1.04723,          NaN,         NaN,  1.852569E-3,     5.77274,          NaN,         NaN
    71.0,  2.749577E-2,     1.10479,          NaN,         NaN,  1.562291E-3,     5.71186,          NaN,         NaN
    72.0,  2.862245E-2,     1.16817,          NaN,         NaN,  1.354351E-3,     5.57682,          NaN,         NaN
    73.0,  2.972684E-2,     1.23632,          NaN,         NaN,  1.271601E-3,     5.37899,          NaN,         NaN
    74.0,  3.079060E-2,     1.30824,          NaN,         NaN,  1.335541E-3,     5.17900,          NaN,         NaN
    75.0,  3.180075E-2,     1.38301,          NaN,         NaN,  1.523228E-3,     5.03930,          NaN,         NaN
    76.0,  3.274928E-2,     1.45981,          NaN,         NaN,  1.790072E-3,     4.97350,          NaN,         NaN
    77.0,  3.363265E-2,     1.53794,          NaN,         NaN,  2.099220E-3,     4.96564,          NaN,         NaN
    78.0,  3.445137E-2,     1.61677,          NaN,         NaN,  2.427351E-3,     4.99722,          NaN,         NaN
    79.0,  3.520949E-2,     1.69580,          NaN,         NaN,  2.760489E-3,     5.05491,          NaN,         NaN
    80.0,  3.591409E-2,     1.77463,          NaN,         NaN,  3.090009E-3,     5.13004,          NaN,         NaN
