Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  3.131986E-3,    -3.14159,          NaN,         NaN,  7.253930E-4,    -0.00000,          NaN,         NaN
     1.0,  8.231979E-3,    -3.70758,          NaN,         NaN,  1.471106E-3,     0.00024,          NaN,         NaN
     2.0,  1.234431E-2,    -3.90013,          NaN,         NaN,  1.530404E-3,     0.00884,          NaN,         NaN
     3.0,  1.703587E-2,    -3.91597,          NaN,         NaN,  1.624278E-3,     0.03170,          NaN,         NaN
     4.0,  2.183177E-2,    -3.86188,          NaN,         NaN,  1.746885E-3,     0.07127,          NaN,         NaN
     5.0,  2.655809E-2,    -3.77549,          NaN,         NaN,  1.892177E-3,     0.12722,          NaN,         NaN
     6.0,  3.112392E-2,    -3.67205,          NaN,         NaN,  2.054629E-3,     0.19760,          NaN,         NaN
     7.0,  3.546831E-2,    -3.55875,          NaN,         NaN,  2.229482E-3,     0.27986,          NaN,         NaN
     8.0,  3.954439E-2,    -3.43938,          NaN,         NaN,  2.412713E-3,     0.37144,          NaN,         NaN
     9.0,  4.331380E-2,    -3.31619,          NaN,         NaN,  2.600901E-3,     0.47003,          NaN,         NaN
    10.0,  4.674455E-2,    -3.19058,          NaN,         NaN,  2.791087E-3,     0.57368,          NaN,         NaN
    11.0,  4.981016E-2,    -3.06349,          NaN,         NaN,  2.980676E-3,     0.68078,          NaN,         NaN
    12.0,  5.248934E-2,    -2.93562,          NaN,         NaN,  3.167362E-3,     0.79000,          NaN,         NaN
    13.0,  5.476589E-2,    -2.80750,          NaN,         NaN,  3.349105E-3,     0.90025,          NaN,         NaN
    14.0,  5.662878E-2,    -2.67957,          NaN,         NaN,  3.524125E-3,     1.01065,          NaN,         NaN
    15.0,  5.807210E-2,    -2.55221,          NaN,         NaN,  3.690913E-3,     1.12043,          NaN,         NaN
    16.0,  5.909522E-2,    -2.42579,          NaN,         NaN,  3.848266E-3,     1.22899,          NaN,         NaN
    17.0,  5.970274E-2,    -2.30064,          NaN,         NaN,  3.995315E-3,     1.33580,          NaN,         NaN
    18.0,  5.990460E-2,    -2.17712,          NaN,         NaN,  4.131563E-3,     1.44040,          NaN,         NaN
    19.0,  5.971603E-2,    -2.05561,          NaN,         NaN,  4.256911E-3,     1.54242,          NaN,         NaN
    20.0,  5.915760E-2,    -1.93651,          NaN,         NaN,  4.371683E-3,     1.64155,          NaN,         NaN
    21.0,  5.825519E-2,    -1.82026,          NaN,         NaN,  4.476634E-3,     1.73753,          NaN,         NaN
    22.0,  5.704002E-2,    -1.70737,          NaN,         NaN,  4.572942E-3,     1.83019,          NaN,         NaN
    23.0,  5.554861E-2,    -1.59837,          NaN,         NaN,  4.662175E-3,     1.91942,          NaN,         NaN
    24.0,  5.382285E-2,    -1.49389,          NaN,         NaN,  4.746239E-3,     2.00521,          NaN,         NaN
    25.0,  5.190997E-2,    -1.39462,          NaN,         NaN,  4.827296E-3,     2.08763,          NaN,         NaN
    26.0,  4.986252E-2,    -1.30130,          NaN,         NaN,  4.907653E-3,     2.16686,          NaN,         NaN
    27.0,  4.773823E-2,    -1.21469,          NaN,         NaN,  4.989634E-3,     2.24319,          NaN,         NaN
    28.0,  4.559961E-2,    -1.13556,          NaN,         NaN,  5.075428E-3,     2.31700,          NaN,         NaN
    29.0,  4.351310E-2,    -1.06457,          NaN,         NaN,  5.166940E-3,     2.38877,          NaN,         NaN
    30.0,  4.154746E-2,    -1.00219,          NaN,         NaN,  5.265647E-3,     2.45902,          NaN,         NaN
    31.0,  3.977107E-2,    -0.94847,          NaN,         NaN,  5.372480E-3,     2.52832,          NaN,         NaN
    32.0,  3.824775E-2,    -0.90295,          NaN,         NaN,  5.487745E-3,     2.59724,          NaN,         NaN
    33.0,  3.703131E-2,    -0.86445,          NaN,         NaN,  5.611087E-3,     2.66631,          NaN,         NaN
    34.0,  3.615941E-2,    -0.83105,          NaN,         NaN,  5.741506E-3,     2.73600,          NaN,         NaN
    35.0,  3.564822E-2,    -0.80027,          NaN,         NaN,  5.877419E-3,     2.80667,          NaN,         NaN
    36.0,  3.548951E-2,    -0.76932,          NaN,         NaN,  6.016755E-3,     2.87861,          NaN,         NaN
    37.0,  3.565161E-2,    -0.73558,          NaN,         NaN,  6.157075E-3,     2.95198,          NaN,         NaN
    38.0,  3.608398E-2,    -0.69694,          NaN,         NaN,  6.295705E-3,     3.02686,          NaN,         NaN
    39.0,  3.672407E-2,    -0.65200,          NaN,         NaN,  6.429869E-3,     3.10323,          NaN,         NaN
    40.0,  3.750452E-2,    -0.60013,          NaN,         NaN,  6.556815E-3,     3.18099,          NaN,         NaN
    41.0,  3.835924E-2,    -0.54131,          NaN,         NaN,  6.673931E-3,     3.25999,          NaN,         NaN
    42.0,  3.922754E-2,    -0.47597,          NaN,         NaN,  6.778837E-3,     3.34001,          NaN,         NaN
    43.0,  4.005662E-2,    -0.40483,          NaN,         NaN,  6.869471E-3,     3.42084,          NaN,         NaN
    44.0,  4.080261E-2,    -0.32879,          NaN,         NaN,  6.944152E-3,     3.50219,          NaN,         NaN
    45.0,  4.143078E-2,    -0.24877,          NaN,         NaN,  7.001621E-3,     3.58379,          NaN,         NaN
    46.0,  4.191522E-2,    -0.16572,          NaN,         NaN,  7.041073E-3,     3.66535,          NaN,         NaN
    47.0,  4.223836E-2,    -0.08055,          NaN,         NaN,  7.062172E-3,     3.74660,          NaN,         NaN
    48.0,  4.239040E-2,     0.00584,          NaN,         NaN,  7.065045E-3,     3.82724,          NaN,         NaN
    49.0,  4.236870E-2,     0.09262,          NaN,         NaN,  7.050270E-3,     3.90701,          NaN,         NaN
    50.0,  4.217737E-2,     0.17898,          NaN,         NaN,  7.018844E-3,     3.98565,          NaN,         NaN
    51.0,  4.182674E-2,     0.26412,          NaN,         NaN,  6.972137E-3,     4.06292,          NaN,         NaN
