Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  3.016099E-3,    -3.14159,          NaN,         NaN,  3.180098E-4,    -3.14159,          NaN,         NaN
     1.0,  7.932745E-3,    -3.70985,          NaN,         NaN,  1.927657E-3,    -1.75672,          NaN,         NaN
     2.0,  1.190215E-2,    -3.90380,          NaN,         NaN,  3.685318E-3,    -1.44367,          NaN,         NaN
     3.0,  1.643011E-2,    -3.92098,          NaN,         NaN,  5.458741E-3,    -1.23685,          NaN,         NaN
     4.0,  2.105960E-2,    -3.86827,          NaN,         NaN,  7.213121E-3,    -1.05839,          NaN,         NaN
     5.0,  2.562359E-2,    -3.78329,          NaN,         NaN,  8.933862E-3,    -0.89160,          NaN,         NaN
     6.0,  3.003497E-2,    -3.68126,          NaN,         NaN,  1.061005E-2,    -0.73087,          NaN,         NaN
     7.0,  3.423542E-2,    -3.56937,          NaN,         NaN,  1.223198E-2,    -0.57379,          NaN,         NaN
     8.0,  3.818016E-2,    -3.45141,          NaN,         NaN,  1.379052E-2,    -0.41920,          NaN,         NaN
     9.0,  4.183255E-2,    -3.32961,          NaN,         NaN,  1.527697E-2,    -0.26647,          NaN,         NaN
    10.0,  4.516205E-2,    -3.20536,          NaN,         NaN,  1.668304E-2,    -0.11525,          NaN,         NaN
    11.0,  4.814339E-2,    -3.07961,          NaN,         NaN,  1.800079E-2,     0.03465,          NaN,         NaN
    12.0,  5.075623E-2,    -2.95304,          NaN,         NaN,  1.922274E-2,     0.18334,          NaN,         NaN
    13.0,  5.298511E-2,    -2.82618,          NaN,         NaN,  2.034190E-2,     0.33085,          NaN,         NaN
    14.0,  5.481943E-2,    -2.69945,          NaN,         NaN,  2.135182E-2,     0.47719,          NaN,         NaN
    15.0,  5.625351E-2,    -2.57323,          NaN,         NaN,  2.224666E-2,     0.62233,          NaN,         NaN
    16.0,  5.728659E-2,    -2.44785,          NaN,         NaN,  2.302124E-2,     0.76624,          NaN,         NaN
    17.0,  5.792291E-2,    -2.32365,          NaN,         NaN,  2.367116E-2,     0.90883,          NaN,         NaN
    18.0,  5.817165E-2,    -2.20095,          NaN,         NaN,  2.419282E-2,     1.05002,          NaN,         NaN
    19.0,  5.804697E-2,    -2.08011,          NaN,         NaN,  2.458354E-2,     1.18969,          NaN,         NaN
    20.0,  5.756796E-2,    -1.96148,          NaN,         NaN,  2.484162E-2,     1.32771,          NaN,         NaN
    21.0,  5.675858E-2,    -1.84548,          NaN,         NaN,  2.496642E-2,     1.46393,          NaN,         NaN
    22.0,  5.564760E-2,    -1.73255,          NaN,         NaN,  2.495843E-2,     1.59817,          NaN,         NaN
    23.0,  5.426853E-2,    -1.62318,          NaN,         NaN,  2.481937E-2,     1.73019,          NaN,         NaN
    24.0,  5.265954E-2,    -1.51790,          NaN,         NaN,  2.455228E-2,     1.85975,          NaN,         NaN
    25.0,  5.086335E-2,    -1.41732,          NaN,         NaN,  2.416160E-2,     1.98654,          NaN,         NaN
    26.0,  4.892708E-2,    -1.32208,          NaN,         NaN,  2.365327E-2,     2.11019,          NaN,         NaN
    27.0,  4.690197E-2,    -1.23285,          NaN,         NaN,  2.303485E-2,     2.23028,          NaN,         NaN
    28.0,  4.484297E-2,    -1.15029,          NaN,         NaN,  2.231565E-2,     2.34628,          NaN,         NaN
    29.0,  4.280790E-2,    -1.07501,          NaN,         NaN,  2.150692E-2,     2.45758,          NaN,         NaN
    30.0,  4.085619E-2,    -1.00744,          NaN,         NaN,  2.062199E-2,     2.56344,          NaN,         NaN
    31.0,  3.904678E-2,    -0.94776,          NaN,         NaN,  1.967658E-2,     2.66299,          NaN,         NaN
    32.0,  3.743504E-2,    -0.89572,          NaN,         NaN,  1.868904E-2,     2.75520,          NaN,         NaN
    33.0,  3.606882E-2,    -0.85054,          NaN,         NaN,  1.768072E-2,     2.83891,          NaN,         NaN
    34.0,  3.498380E-2,    -0.81083,          NaN,         NaN,  1.667626E-2,     2.91280,          NaN,         NaN
    35.0,  3.419906E-2,    -0.77464,          NaN,         NaN,  1.570386E-2,     2.97557,          NaN,         NaN
    36.0,  3.371421E-2,    -0.73965,          NaN,         NaN,  1.479515E-2,     3.02601,          NaN,         NaN
    37.0,  3.350888E-2,    -0.70350,          NaN,         NaN,  1.398450E-2,     3.06338,          NaN,         NaN
    38.0,  3.354524E-2,    -0.66407,          NaN,         NaN,  1.330703E-2,     3.08779,          NaN,         NaN
    39.0,  3.377275E-2,    -0.61976,          NaN,         NaN,  1.279528E-2,     3.10067,          NaN,         NaN
    40.0,  3.413391E-2,    -0.56960,          NaN,         NaN,  1.247424E-2,     3.10506,          NaN,         NaN
    41.0,  3.456981E-2,    -0.51319,          NaN,         NaN,  1.235635E-2,     3.10538,          NaN,         NaN
    42.0,  3.502440E-2,    -0.45064,          NaN,         NaN,  1.243811E-2,     3.10667,          NaN,         NaN
    43.0,  3.544737E-2,    -0.38242,          NaN,         NaN,  1.270045E-2,     3.11353,          NaN,         NaN
    44.0,  3.579576E-2,    -0.30921,          NaN,         NaN,  1.311249E-2,     3.12924,          NaN,         NaN
    45.0,  3.603461E-2,    -0.23183,          NaN,         NaN,  1.363717E-2,     3.15545,          NaN,         NaN
    46.0,  3.613700E-2,    -0.15114,          NaN,         NaN,  1.423649E-2,     3.19241,          NaN,         NaN
    47.0,  3.608373E-2,    -0.06805,          NaN,         NaN,  1.487505E-2,     3.23942,          NaN,         NaN
    48.0,  3.586290E-2,     0.01656,          NaN,         NaN,  1.552198E-2,     3.29522,          NaN,         NaN
    49.0,  3.546942E-2,     0.10179,          NaN,         NaN,  1.615155E-2,     3.35837,          NaN,         NaN
    50.0,  3.490453E-2,     0.18674,          NaN,         NaN,  1.674319E-2,     3.42741,          NaN,         NaN
    51.0,  3.417546E-2,     0.27049,          NaN,         NaN,  1.728107E-2,     3.50096,          NaN,         NaN
    52.0,  3.329507E-2,     0.35212,          NaN,         NaN,  1.775373E-2,     3.57780,          NaN,         NaN
    53.0,  3.228161E-2,     0.43063,          NaN,         NaN,  1.815366E-2,     3.65679,          NaN,         NaN
    54.0,  3.115859E-2,     0.50500,          NaN,         NaN,  1.847699E-2,     3.73695,          NaN,         NaN
    55.0,  2.995462E-2,     0.57415,          NaN,         NaN,  1.872323E-2,     3.81739,          NaN,         NaN
    56.0,  2.870333E-2,     0.63696,          NaN,         NaN,  1.889503E-2,     3.89732,          NaN,         NaN
    57.0,  2.744314E-2,     0.69235,          NaN,         NaN,  1.899799E-2,     3.97602,          NaN,         NaN
    58.0,  2.621679E-2,     0.73931,          NaN,         NaN,  1.904044E-2,     4.05288,          NaN,         NaN
    59.0,  2.507039E-2,     0.77712,          NaN,         NaN,  1.903322E-2,     4.12737,          NaN,         NaN
    60.0,  2.405159E-2,     0.80548,          NaN,         NaN,  1.898936E-2,     4.19908,          NaN,         NaN
    61.0,  2.320665E-2,     0.82477,          NaN,         NaN,  1.892364E-2,     4.26773,          NaN,         NaN
    62.0,  2.257629E-2,     0.83624,          NaN,         NaN,  1.885203E-2,     4.33320,          NaN,         NaN
    63.0,  2.219088E-2,     0.84208,          NaN,         NaN,  1.879098E-2,     4.39558,          NaN,         NaN
    64.0,  2.206607E-2,     0.84518,          NaN,         NaN,  1.875654E-2,     4.45516,          NaN,         NaN
    65.0,  2.220041E-2,     0.84873,          NaN,         NaN,  1.876331E-2,     4.51245,          NaN,         NaN
    66.0,  2.257612E-2,     0.85563,          NaN,         NaN,  1.882348E-2,     4.56818,          NaN,         NaN
    67.0,  2.316266E-2,     0.86811,          NaN,         NaN,  1.894584E-2,     4.62326,          NaN,         NaN
    68.0,  2.392211E-2,     0.88748,          NaN,         NaN,  1.913505E-2,     4.67865,          NaN,         NaN
    69.0,  2.481445E-2,     0.91419,          NaN,         NaN,  1.939134E-2,     4.73537,          NaN,         NaN
    70.0,  2.580180E-2,     0.94801,          NaN,         NaN,  1.971047E-2,     4.79432,          NaN,         NaN
    71.0,  2.685118E-2,     0.98828,          NaN,         NaN,  2.008422E-2,     4.85629,          NaN,         NaN
    72.0,  2.793589E-2,     1.03413,          NaN,         NaN,  2.050107E-2,     4.92184,          NaN,         NaN
    73.0,  2.903593E-2,     1.08460,          NaN,         NaN,  2.094710E-2,     4.99136,          NaN,         NaN
    74.0,  3.013787E-2,     1.13878,          NaN,         NaN,  2.140691E-2,     5.06503,          NaN,         NaN
    75.0,  3.123427E-2,     1.19585,          NaN,         NaN,  2.186452E-2,     5.14284,          NaN,         NaN
    76.0,  3.232297E-2,     1.25513,          NaN,         NaN,  2.230407E-2,     5.22468,          NaN,         NaN
    77.0,  3.340622E-2,     1.31606,          NaN,         NaN,  2.271044E-2,     5.31029,          NaN,         NaN
    78.0,  3.448972E-2,     1.37822,          NaN,         NaN,  2.306972E-2,     5.39939,          NaN,         NaN
    79.0,  3.558164E-2,     1.44137,          NaN,         NaN,  2.336954E-2,     5.49161,          NaN,         NaN
    80.0,  3.669157E-2,     1.50535,          NaN,         NaN,  2.359927E-2,     5.58657,          NaN,         NaN
    81.0,  3.782944E-2,     1.57015,          NaN,         NaN,  2.375021E-2,     5.68389,          NaN,         NaN
    82.0,  3.900454E-2,     1.63583,          NaN,         NaN,  2.381567E-2,     5.78317,          NaN,         NaN
    83.0,  4.022455E-2,     1.70253,          NaN,         NaN,  2.379097E-2,     5.88401,          NaN,         NaN
    84.0,  4.149482E-2,     1.77045,          NaN,         NaN,  2.367351E-2,     5.98601,          NaN,         NaN
    85.0,  4.281771E-2,     1.83979,          NaN,         NaN,  2.346271E-2,     6.08878,          NaN,         NaN
    86.0,  4.419227E-2,     1.91077,          NaN,         NaN,  2.315997E-2,     6.19191,          NaN,         NaN
    87.0,  4.561411E-2,     1.98355,          NaN,         NaN,  2.276859E-2,     6.29500,          NaN,         NaN
    88.0,  4.707548E-2,     2.05829,          NaN,         NaN,  2.229376E-2,     6.39764,          NaN,         NaN
    89.0,  4.856557E-2,     2.13507,          NaN,         NaN,  2.174237E-2,     6.49940,          NaN,         NaN
