Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  2.630267E-3,    -3.14159,          NaN,         NaN,  6.514374E-4,    -0.00000,          NaN,         NaN
     1.0,  7.553357E-3,    -3.80020,          NaN,         NaN,  1.411816E-3,    -0.26274,          NaN,         NaN
     2.0,  1.200837E-2,    -3.97551,          NaN,         NaN,  1.694640E-3,    -0.42857,          NaN,         NaN
     3.0,  1.691678E-2,    -3.97122,          NaN,         NaN,  2.075478E-3,    -0.49460,          NaN,         NaN
     4.0,  2.186801E-2,    -3.90318,          NaN,         NaN,  2.501806E-3,    -0.49357,          NaN,         NaN
     5.0,  2.671837E-2,    -3.80693,          NaN,         NaN,  2.944491E-3,    -0.45153,          NaN,         NaN
     6.0,  3.138990E-2,    -3.69610,          NaN,         NaN,  3.387065E-3,    -0.38425,          NaN,         NaN
     7.0,  3.582770E-2,    -3.57696,          NaN,         NaN,  3.819343E-3,    -0.30094,          NaN,         NaN
     8.0,  3.998794E-2,    -3.45279,          NaN,         NaN,  4.234437E-3,    -0.20716,          NaN,         NaN
     9.0,  4.383390E-2,    -3.32548,          NaN,         NaN,  4.627367E-3,    -0.10642,          NaN,         NaN
    10.0,  4.733447E-2,    -3.19625,          NaN,         NaN,  4.994402E-3,    -0.00104,          NaN,         NaN
    11.0,  5.046365E-2,    -3.06589,          NaN,         NaN,  5.332736E-3,     0.10739,          NaN,         NaN
    12.0,  5.320042E-2,    -2.93502,          NaN,         NaN,  5.640314E-3,     0.21768,          NaN,         NaN
    13.0,  5.552870E-2,    -2.80409,          NaN,         NaN,  5.915747E-3,     0.32897,          NaN,         NaN
    14.0,  5.743747E-2,    -2.67349,          NaN,         NaN,  6.158262E-3,     0.44055,          NaN,         NaN
    15.0,  5.892082E-2,    -2.54356,          NaN,         NaN,  6.367675E-3,     0.55188,          NaN,         NaN
    16.0,  5.997804E-2,    -2.41462,          NaN,         NaN,  6.544368E-3,     0.66247,          NaN,         NaN
    17.0,  6.061363E-2,    -2.28699,          NaN,         NaN,  6.689271E-3,     0.77191,          NaN,         NaN
    18.0,  6.083735E-2,    -2.16099,          NaN,         NaN,  6.803840E-3,     0.87985,          NaN,         NaN
