Frequency/GHz, Amplitude rel. 1, Phase 1, Ref.Amplitude rel. 1, Ref.Phase 1, Amplitude rel. 2, Phase 2, Ref.Amplitude rel. 2, Ref.Phase 2
     0.0,  2.213692E-3,    -3.14159,  6.818399E-3,    -3.14159,  6.604673E-4,    -0.00000,          NaN,         NaN
     1.0,  4.519092E-3,    -2.82285,  1.373429E-2,    -2.98700,  2.033990E-3,    -0.70018,          NaN,         NaN
     2.0,  4.782359E-3,    -2.51994,  1.402566E-2,    -2.83319,  3.363184E-3,    -0.83976,          NaN,         NaN
     3.0,  5.187514E-3,    -2.24237,  1.450766E-2,    -2.68085,  4.822470E-3,    -0.80262,          NaN,         NaN
     4.0,  5.698940E-3,    -1.99218,  1.517504E-2,    -2.53044,  6.320581E-3,    -0.70667,          NaN,         NaN
     5.0,  6.283935E-3,    -1.76679,  1.602076E-2,    -2.38219,  7.832480E-3,    -0.58548,          NaN,         NaN
     6.0,  6.916041E-3,    -1.56193,  1.703619E-2,    -2.23611,  9.347443E-3,    -0.45159,          NaN,         NaN
     7.0,  7.574951E-3,    -1.37335,  1.821129E-2,    -2.09207,  1.085869E-2,    -0.31067,          NaN,         NaN
     8.0,  8.245256E-3,    -1.19744,  1.953476E-2,    -1.94980,  1.236043E-2,    -0.16568,          NaN,         NaN
     9.0,  8.915127E-3,    -1.03134,  2.099413E-2,    -1.80900,  1.384683E-2,    -0.01830,          NaN,         NaN
    10.0,  9.575285E-3,    -0.87283,  2.257591E-2,    -1.66936,  1.531163E-2,     0.13045,          NaN,         NaN
    11.0,  1.021827E-2,    -0.72023,  2.426565E-2,    -1.53059,  1.674792E-2,     0.27991,          NaN,         NaN
    12.0,  1.083792E-2,    -0.57221,  2.604807E-2,    -1.39242,  1.814819E-2,     0.42965,          NaN,         NaN
    13.0,  1.142908E-2,    -0.42775,  2.790721E-2,    -1.25462,  1.950433E-2,     0.57940,          NaN,         NaN
    14.0,  1.198733E-2,    -0.28605,  2.982657E-2,    -1.11699,  2.080775E-2,     0.72896,          NaN,         NaN
    15.0,  1.250887E-2,    -0.14647,  3.178923E-2,    -0.97936,  2.204951E-2,     0.87822,          NaN,         NaN
    16.0,  1.299044E-2,    -0.00846,  3.377806E-2,    -0.84160,  2.322042E-2,     1.02713,          NaN,         NaN
    17.0,  1.342919E-2,     0.12839,  3.577586E-2,    -0.70358,  2.431129E-2,     1.17565,          NaN,         NaN
    18.0,  1.382273E-2,     0.26446,  3.776558E-2,    -0.56519,  2.531304E-2,     1.32380,          NaN,         NaN
    19.0,  1.416905E-2,     0.40007,  3.973047E-2,    -0.42636,  2.621689E-2,     1.47161,          NaN,         NaN
    20.0,  1.446654E-2,     0.53550,  4.165423E-2,    -0.28700,  2.701455E-2,     1.61913,          NaN,         NaN
    21.0,  1.471394E-2,     0.67100,  4.352127E-2,    -0.14704,  2.769841E-2,     1.76644,          NaN,         NaN
    22.0,  1.491042E-2,     0.80679,  4.531678E-2,    -0.00640,  2.826168E-2,     1.91362,          NaN,         NaN
    23.0,  1.505553E-2,     0.94311,  4.702698E-2,     0.13498,  2.869859E-2,     2.06079,          NaN,         NaN
    24.0,  1.514920E-2,     1.08015,  4.863921E-2,     0.27717,  2.900449E-2,     2.20808,          NaN,         NaN
    25.0,  1.519182E-2,     1.21813,  5.014212E-2,     0.42023,  2.917604E-2,     2.35561,          NaN,         NaN
    26.0,  1.518417E-2,     1.35725,  5.152575E-2,     0.56423,  2.921134E-2,     2.50356,          NaN,         NaN
    27.0,  1.512749E-2,     1.49773,  5.278171E-2,     0.70924,  2.910999E-2,     2.65212,          NaN,         NaN
    28.0,  1.502348E-2,     1.63979,  5.390324E-2,     0.85533,  2.887327E-2,     2.80148,          NaN,         NaN
    29.0,  1.487430E-2,     1.78365,  5.488532E-2,     1.00257,  2.850415E-2,     2.95190,          NaN,         NaN
    30.0,  1.468262E-2,     1.92956,  5.572471E-2,     1.15105,  2.800744E-2,     3.10364,          NaN,         NaN
    31.0,  1.445157E-2,     2.07777,  5.642005E-2,     1.30083,  2.738980E-2,     3.25701,          NaN,         NaN
    32.0,  1.418485E-2,     2.22858,  5.697186E-2,     1.45201,  2.665984E-2,     3.41237,          NaN,         NaN
    33.0,  1.388665E-2,     2.38227,  5.738254E-2,     1.60467,  2.582815E-2,     3.57013,          NaN,         NaN
    34.0,  1.356173E-2,     2.53915,  5.765640E-2,     1.75889,  2.490732E-2,     3.73077,          NaN,         NaN
    35.0,  1.321539E-2,     2.69955,  5.779958E-2,     1.91476,  2.391203E-2,     3.89482,          NaN,         NaN
    36.0,  1.285349E-2,     2.86381,  5.782002E-2,     2.07236,  2.285903E-2,     4.06287,          NaN,         NaN
    37.0,  1.248241E-2,     3.03226,  5.772735E-2,     2.23177,  2.176717E-2,     4.23560,          NaN,         NaN
    38.0,  1.210908E-2,     3.20522,  5.753276E-2,     2.39307,  2.065733E-2,     4.41373,          NaN,         NaN
    39.0,  1.174083E-2,     3.38297,  5.724885E-2,     2.55631,  1.955232E-2,     4.59798,          NaN,         NaN
    40.0,  1.138534E-2,     3.56571,  5.688944E-2,     2.72154,  1.847656E-2,     4.78904,          NaN,         NaN
    41.0,  1.105049E-2,     3.75354,  5.646930E-2,     2.88879,  1.745555E-2,     4.98745,          NaN,         NaN
    42.0,  1.074405E-2,     3.94642,  5.600388E-2,     3.05806,  1.651487E-2,     5.19342,          NaN,         NaN
    43.0,  1.047347E-2,     4.14412,  5.550903E-2,     3.22933,  1.567873E-2,     5.40671,          NaN,         NaN
    44.0,  1.024542E-2,     4.34617,  5.500054E-2,     3.40255,  1.496786E-2,     5.62638,          NaN,         NaN
    45.0,  1.006540E-2,     4.55188,  5.449384E-2,     3.57761,  1.439708E-2,     5.85073,          NaN,         NaN
    46.0,  9.937362E-3,     4.76036,  5.400352E-2,     3.75439,  1.397282E-2,     6.07727,          NaN,         NaN
    47.0,  9.863331E-3,     4.97053,  5.354293E-2,     3.93270,  1.369156E-2,     6.30304,          NaN,         NaN
    48.0,  9.843240E-3,     5.18124,  5.312378E-2,     4.11232,  1.353972E-2,     6.52493,          NaN,         NaN
    49.0,  9.874930E-3,     5.39138,  5.275573E-2,     4.29300,  1.349518E-2,     6.74018,          NaN,         NaN
    50.0,  9.954336E-3,     5.59993,  5.244614E-2,     4.47445,  1.353014E-2,     6.94666,          NaN,         NaN
    51.0,  1.007585E-2,     5.80606,  5.219982E-2,     4.65636,  1.361441E-2,     7.14296,          NaN,         NaN
    52.0,  1.023277E-2,     6.00917,  5.201896E-2,     4.83841,  1.371841E-2,     7.32837,          NaN,         NaN
    53.0,  1.041776E-2,     6.20892,  5.190310E-2,     5.02027,  1.381531E-2,     7.50267,          NaN,         NaN
    54.0,  1.062331E-2,     6.40516,  5.184932E-2,     5.20165,  1.388250E-2,     7.66590,          NaN,         NaN
    55.0,  1.084208E-2,     6.59794,  5.185245E-2,     5.38226,  1.390227E-2,     7.81827,          NaN,         NaN
    56.0,  1.106717E-2,     6.78744,  5.190544E-2,     5.56184,  1.386221E-2,     7.95992,          NaN,         NaN
    57.0,  1.129231E-2,     6.97394,  5.199973E-2,     5.74017,  1.375526E-2,     8.09091,          NaN,         NaN
    58.0,  1.151199E-2,     7.15780,  5.212573E-2,     5.91710,  1.357986E-2,     8.21110,          NaN,         NaN
    59.0,  1.172148E-2,     7.33941,  5.227320E-2,     6.09250,  1.333996E-2,     8.32018,          NaN,         NaN
    60.0,  1.191691E-2,     7.51915,  5.243173E-2,     6.26628,  1.304520E-2,     8.41763,          NaN,         NaN
    61.0,  1.209523E-2,     7.69745,  5.259112E-2,     6.43840,  1.271112E-2,     8.50278,          NaN,         NaN
    62.0,  1.225421E-2,     7.87470,  5.274169E-2,     6.60886,  1.235921E-2,     8.57493,          NaN,         NaN
    63.0,  1.239238E-2,     8.05128,  5.287458E-2,     6.77768,  1.201682E-2,     8.63353,          NaN,         NaN
    64.0,  1.250908E-2,     8.22756,  5.298197E-2,     6.94491,  1.171632E-2,     8.67851,          NaN,         NaN
    65.0,  1.260432E-2,     8.40388,  5.305725E-2,     7.11064,  1.149317E-2,     8.71067,          NaN,         NaN
    66.0,  1.267883E-2,     8.58056,  5.309510E-2,     7.27495,  1.138255E-2,     8.73209,          NaN,         NaN
    67.0,  1.273397E-2,     8.75791,  5.309160E-2,     7.43795,  1.141451E-2,     8.74626,          NaN,         NaN
    68.0,  1.277170E-2,     8.93619,  5.304421E-2,     7.59975,  1.160881E-2,     8.75779,          NaN,         NaN
    69.0,  1.279453E-2,     9.11563,  5.295179E-2,     7.76047,  1.197129E-2,     8.77163,          NaN,         NaN
    70.0,  1.280545E-2,     9.29645,  5.281453E-2,     7.92025,  1.249318E-2,     8.79216,          NaN,         NaN
    71.0,  1.280787E-2,     9.47880,  5.263391E-2,     8.07921,  1.315355E-2,     8.82246,          NaN,         NaN
    72.0,  1.280553E-2,     9.66280,  5.241262E-2,     8.23748,  1.392352E-2,     8.86418,          NaN,         NaN
    73.0,  1.280241E-2,     9.84852,  5.215443E-2,     8.39519,  1.477060E-2,     8.91778,          NaN,         NaN
    74.0,  1.280258E-2,    10.03597,  5.186410E-2,     8.55246,  1.566196E-2,     8.98287,          NaN,         NaN
    75.0,  1.281013E-2,    10.22511,  5.154729E-2,     8.70940,  1.656656E-2,     9.05865,          NaN,         NaN
    76.0,  1.282900E-2,    10.41582,  5.121037E-2,     8.86615,  1.745625E-2,     9.14418,          NaN,         NaN
    77.0,  1.286282E-2,    10.60793,  5.086036E-2,     9.02280,  1.830631E-2,     9.23855,          NaN,         NaN
    78.0,  1.291482E-2,    10.80123,  5.050473E-2,     9.17945,  1.909565E-2,     9.34097,          NaN,         NaN
    79.0,  1.298764E-2,    10.99545,  5.015134E-2,     9.33620,  1.980686E-2,     9.45080,          NaN,         NaN
    80.0,  1.308327E-2,    11.19029,  4.980822E-2,     9.49312,  2.042633E-2,     9.56759,          NaN,         NaN
    81.0,  1.320297E-2,    11.38543,  4.948352E-2,     9.65028,  2.094435E-2,     9.69106,          NaN,         NaN
    82.0,  1.334719E-2,    11.58056,  4.918530E-2,     9.80773,  2.135527E-2,     9.82107,          NaN,         NaN
    83.0,  1.351562E-2,    11.77537,  4.892144E-2,     9.96552,  2.165775E-2,     9.95764,          NaN,         NaN
    84.0,  1.370720E-2,    11.96960,  4.869952E-2,    10.12366,  2.185504E-2,    10.10090,          NaN,         NaN
    85.0,  1.392021E-2,    12.16302,  4.852664E-2,    10.28217,  2.195535E-2,    10.25112,          NaN,         NaN
    86.0,  1.415235E-2,    12.35546,  4.840936E-2,    10.44103,  2.197216E-2,    10.40862,          NaN,         NaN
    87.0,  1.440088E-2,    12.54680,  4.835356E-2,    10.60022,  2.192454E-2,    10.57376,          NaN,         NaN
    88.0,  1.466277E-2,    12.73697,  4.836437E-2,    10.75971,  2.183731E-2,    10.74686,          NaN,         NaN
    89.0,  1.493476E-2,    12.92595,  4.844606E-2,    10.91945,  2.174087E-2,    10.92810,          NaN,         NaN
    90.0,  1.521355E-2,    13.11379,  4.860199E-2,    11.07938,  2.167055E-2,    11.11742,          NaN,         NaN
    91.0,  1.549588E-2,    13.30056,  4.883456E-2,    11.23945,  2.166519E-2,    11.31434,          NaN,         NaN
    92.0,  1.577866E-2,    13.48636,  4.914519E-2,    11.39958,  2.176479E-2,    11.51788,          NaN,         NaN
    93.0,  1.605899E-2,    13.67133,  4.953433E-2,    11.55973,  2.200726E-2,    11.72645,          NaN,         NaN
    94.0,  1.633433E-2,    13.85562,  5.000144E-2,    11.71984,  2.242467E-2,    11.93797,          NaN,         NaN
    95.0,  1.660248E-2,    14.03940,  5.054507E-2,    11.87985,  2.303965E-2,    12.14998,          NaN,         NaN
    96.0,  1.686165E-2,    14.22284,  5.116291E-2,    12.03973,  2.386295E-2,    12.36003,          NaN,         NaN
    97.0,  1.711050E-2,    14.40611,  5.185183E-2,    12.19945,  2.489268E-2,    12.56589,          NaN,         NaN
    98.0,  1.734817E-2,    14.58940,  5.260803E-2,    12.35899,  2.611530E-2,    12.76584,          NaN,         NaN
    99.0,  1.757426E-2,    14.77288,  5.342708E-2,    12.51837,  2.750797E-2,    12.95877,          NaN,         NaN
   100.0,  1.778888E-2,    14.95670,  5.430404E-2,    12.67758,  2.904131E-2,    13.14411,          NaN,         NaN
   101.0,  1.799261E-2,    15.14102,  5.523360E-2,    12.83665,  3.068217E-2,    13.32177,          NaN,         NaN
   102.0,  1.818646E-2,    15.32596,  5.621017E-2,    12.99562,  3.239579E-2,    13.49196,          NaN,         NaN
   103.0,  1.837191E-2,    15.51166,  5.722798E-2,    13.15454,  3.414747E-2,    13.65509,          NaN,         NaN
   104.0,  1.855079E-2,    15.69820,  5.828122E-2,    13.31346,  3.590363E-2,    13.81169,          NaN,         NaN
   105.0,  1.872529E-2,    15.88566,  5.936416E-2,    13.47243,  3.763254E-2,    13.96229,          NaN,         NaN
   106.0,  1.889784E-2,    16.07408,  6.047120E-2,    13.63153,  3.930468E-2,    14.10741,          NaN,         NaN
   107.0,  1.907111E-2,    16.26350,  6.159704E-2,    13.79082,  4.089307E-2,    14.24751,          NaN,         NaN
   108.0,  1.924783E-2,    16.45391,  6.273672E-2,    13.95038,  4.237336E-2,    14.38302,          NaN,         NaN
   109.0,  1.943080E-2,    16.64527,  6.388573E-2,    14.11028,  4.372402E-2,    14.51429,          NaN,         NaN
   110.0,  1.962271E-2,    16.83754,  6.504011E-2,    14.27058,  4.492636E-2,    14.64161,          NaN,         NaN
   111.0,  1.982610E-2,    17.03062,  6.619647E-2,    14.43135,  4.596464E-2,    14.76522,          NaN,         NaN
   112.0,  2.004324E-2,    17.22443,  6.735210E-2,    14.59267,  4.682610E-2,    14.88530,          NaN,         NaN
   113.0,  2.027607E-2,    17.41884,  6.850495E-2,    14.75458,  4.750109E-2,    15.00197,          NaN,         NaN
   114.0,  2.052609E-2,    17.61372,  6.965374E-2,    14.91714,  4.798301E-2,    15.11532,          NaN,         NaN
   115.0,  2.079436E-2,    17.80894,  7.079789E-2,    15.08040,  4.826845E-2,    15.22539,          NaN,         NaN
   116.0,  2.108140E-2,    18.00436,  7.193760E-2,    15.24440,  4.835717E-2,    15.33217,          NaN,         NaN
   117.0,  2.138725E-2,    18.19985,  7.307377E-2,    15.40917,  4.825211E-2,    15.43563,          NaN,         NaN
